congress,level,area,year,n_articles
ISWC,A,Bases de datos,2005,79
ISWC,A,Bases de datos,2006,86
ISWC,A,Bases de datos,2008,64
ISWC,A,Bases de datos,2009,67
ISWC,A,Bases de datos,2021,42
ISWC,A,Bases de datos,2022,48
ISWC,A,Bases de datos,2023,58
ITC,A,Sistemas,2001,128
ITC,A,Sistemas,2002,188
ITC,A,Sistemas,2003,195
ITC,A,Sistemas,2004,207
ITC,A,Sistemas,2005,181
ITC,A,Sistemas,2006,118
ITC,A,Sistemas,2007,114
ITC,A,Sistemas,2008,145
ITC,A,Sistemas,2009,81
ITC,A,Sistemas,2010,102
ITC,A,Sistemas,2011,61
ITC,A,Sistemas,2012,70
ITC,A,Sistemas,2013,61
ITC,A,Sistemas,2014,94
ITC,A,Sistemas,2015,48
ITC,A,Sistemas,2016,58
ITC,A,Sistemas,2017,56
ITC,A,Sistemas,2018,59
ITC,A,Sistemas,2019,72
ITC,A,Sistemas,2020,72
ITC,A,Sistemas,2021,51
ITC,A,Sistemas,2022,87
ITC,A,Sistemas,2023,49
ITC,A,Sistemas,2024,61
ITC,A,Sistemas,2025,92
ITCS,A,Teoría,2012,39
ITCS,A,Teoría,2013,49
ITCS,A,Teoría,2014,48
ITCS,A,Teoría,2015,45
ITCS,A,Teoría,2016,40
ITCS,A,Teoría,2017,61
ITCS,A,Teoría,2018,60
ITCS,A,Teoría,2019,67
ITCS,A,Teoría,2020,87
ITCS,A,Teoría,2021,90
ITCS,A,Teoría,2022,121
ITCS,A,Teoría,2023,102
ITCS,A,Teoría,2024,104
ITCS,A,Teoría,2025,97
IUI,A,HCI,2001,27
IUI,A,HCI,2002,61
IUI,A,HCI,2003,75
IUI,A,HCI,2004,87
IUI,A,HCI,2005,68
IUI,A,HCI,2006,78
IUI,A,HCI,2007,61
IUI,A,HCI,2008,78
IUI,A,HCI,2009,74
IUI,A,HCI,2010,81
IUI,A,HCI,2011,94
IUI,A,HCI,2012,84
IUI,A,HCI,2013,45
IUI,A,HCI,2014,47
IUI,A,HCI,2015,57
IUI,A,HCI,2016,51
IUI,A,HCI,2017,66
IUI,A,HCI,2018,80
IUI,A,HCI,2019,74
IUI,A,HCI,2020,61
IUI,A,HCI,2021,69
IUI,A,HCI,2022,65
IUI,A,HCI,2023,66
IUI,A,HCI,2024,61
IUI,A,HCI,2025,97
Interspeech,A,IA / ML,2001,670
Interspeech,A,IA / ML,2002,678
Interspeech,A,IA / ML,2003,798
Interspeech,A,IA / ML,2004,775
Interspeech,A,IA / ML,2005,869
Interspeech,A,IA / ML,2006,659
Interspeech,A,IA / ML,2007,751
Interspeech,A,IA / ML,2008,763
Interspeech,A,IA / ML,2009,765
Interspeech,A,IA / ML,2010,781
Interspeech,A,IA / ML,2011,851
Interspeech,A,IA / ML,2012,677
Interspeech,A,IA / ML,2013,788
Interspeech,A,IA / ML,2014,640
Interspeech,A,IA / ML,2015,792
Interspeech,A,IA / ML,2016,818
Interspeech,A,IA / ML,2017,844
Interspeech,A,IA / ML,2018,791
Interspeech,A,IA / ML,2019,970
Interspeech,A,IA / ML,2020,1035
Interspeech,A,IA / ML,2021,999
Interspeech,A,IA / ML,2022,1123
Interspeech,A,IA / ML,2023,1141
Interspeech,A,IA / ML,2024,1065
Interspeech,A,IA / ML,2025,1180
KDD,A*,Bases de datos,2001,72
KDD,A*,Bases de datos,2002,88
KDD,A*,Bases de datos,2003,96
KDD,A*,Bases de datos,2004,112
KDD,A*,Bases de datos,2005,104
KDD,A*,Bases de datos,2006,126
KDD,A*,Bases de datos,2007,114
KDD,A*,Bases de datos,2008,134
KDD,A*,Bases de datos,2009,145
KDD,A*,Bases de datos,2010,125
KDD,A*,Bases de datos,2011,177
KDD,A*,Bases de datos,2012,206
KDD,A*,Bases de datos,2013,197
KDD,A*,Bases de datos,2014,220
KDD,A*,Bases de datos,2015,253
KDD,A*,Bases de datos,2016,236
KDD,A*,Bases de datos,2017,232
KDD,A*,Bases de datos,2018,310
KDD,A*,Bases de datos,2019,374
KDD,A*,Bases de datos,2020,421
KDD,A*,Bases de datos,2021,482
KDD,A*,Bases de datos,2022,534
KDD,A*,Bases de datos,2023,564
KDD,A*,Bases de datos,2024,642
KR,A*,IA / ML,2002,55
KR,A*,IA / ML,2004,78
KR,A*,IA / ML,2006,52
KR,A*,IA / ML,2008,71
KR,A*,IA / ML,2010,72
KR,A*,IA / ML,2012,76
KR,A*,IA / ML,2014,92
KR,A*,IA / ML,2016,75
KR,A*,IA / ML,2018,93
KR,A*,IA / ML,2020,94
KR,A*,IA / ML,2021,75
KR,A*,IA / ML,2022,58
KR,A*,IA / ML,2023,80
KR,A*,IA / ML,2024,91
KR,A*,IA / ML,2025,85
LAK,A,IA / ML,2011,27
LAK,A,IA / ML,2012,52
LAK,A,IA / ML,2013,47
LAK,A,IA / ML,2014,56
LAK,A,IA / ML,2015,84
LAK,A,IA / ML,2016,98
LAK,A,IA / ML,2017,126
LAK,A,IA / ML,2018,61
LAK,A,IA / ML,2019,69
LAK,A,IA / ML,2020,80
LAK,A,IA / ML,2021,71
LAK,A,IA / ML,2022,62
LAK,A,IA / ML,2023,71
LAK,A,IA / ML,2024,95
LAK,A,IA / ML,2025,101
LICS,A*,Teoría,2001,42
LICS,A*,Teoría,2002,41
LICS,A*,Teoría,2003,39
LICS,A*,Teoría,2004,46
LICS,A*,Teoría,2005,55
LICS,A*,Teoría,2006,47
LICS,A*,Teoría,2007,44
LICS,A*,Teoría,2008,42
LICS,A*,Teoría,2009,43
LICS,A*,Teoría,2010,46
LICS,A*,Teoría,2011,43
LICS,A*,Teoría,2012,66
LICS,A*,Teoría,2013,62
LICS,A*,Teoría,2015,66
LICS,A*,Teoría,2016,89
LICS,A*,Teoría,2017,94
LICS,A*,Teoría,2018,95
LICS,A*,Teoría,2019,62
LICS,A*,Teoría,2020,73
LICS,A*,Teoría,2021,95
LICS,A*,Teoría,2022,64
LICS,A*,Teoría,2023,67
LICS,A*,Teoría,2024,72
LICS,A*,Teoría,2025,66
MICCAI,A,IA / ML,2001,258
MICCAI,A,IA / ML,2002,183
MICCAI,A,IA / ML,2003,236
MICCAI,A,IA / ML,2004,268
MICCAI,A,IA / ML,2005,237
MICCAI,A,IA / ML,2006,232
MICCAI,A,IA / ML,2007,237
MICCAI,A,IA / ML,2008,252
MICCAI,A,IA / ML,2009,259
MICCAI,A,IA / ML,2010,251
MICCAI,A,IA / ML,2011,249
MICCAI,A,IA / ML,2012,252
MICCAI,A,IA / ML,2013,285
MICCAI,A,IA / ML,2014,314
MICCAI,A,IA / ML,2015,397
MICCAI,A,IA / ML,2016,458
MICCAI,A,IA / ML,2017,593
MICCAI,A,IA / ML,2018,950
MICCAI,A,IA / ML,2019,1001
MICCAI,A,IA / ML,2020,948
MICCAI,A,IA / ML,2021,922
MICCAI,A,IA / ML,2022,1107
MICCAI,A,IA / ML,2023,1249
MICCAI,A,IA / ML,2024,1470
MICCAI,A,IA / ML,2025,1652
MICRO,A*,Sistemas,2001,31
MICRO,A*,Sistemas,2002,36
MICRO,A*,Sistemas,2003,37
MICRO,A*,Sistemas,2004,31
MICRO,A*,Sistemas,2005,33
MICRO,A*,Sistemas,2006,42
MICRO,A*,Sistemas,2007,35
MICRO,A*,Sistemas,2008,42
MICRO,A*,Sistemas,2009,54
MICRO,A*,Sistemas,2010,45
MICRO,A*,Sistemas,2011,44
MICRO,A*,Sistemas,2012,40
MICRO,A*,Sistemas,2013,39
MICRO,A*,Sistemas,2014,53
MICRO,A*,Sistemas,2015,61
MICRO,A*,Sistemas,2016,62
MICRO,A*,Sistemas,2017,61
MICRO,A*,Sistemas,2018,74
MICRO,A*,Sistemas,2019,80
MICRO,A*,Sistemas,2020,82
MICRO,A*,Sistemas,2021,94
MICRO,A*,Sistemas,2022,83
MICRO,A*,Sistemas,2023,101
MICRO,A*,Sistemas,2024,115
MICRO,A*,Sistemas,2025,123
MMSys,A,Redes,2010,29
MMSys,A,Redes,2011,31
MMSys,A,Redes,2012,27
MMSys,A,Redes,2013,32
MMSys,A,Redes,2014,36
MMSys,A,Redes,2015,32
MMSys,A,Redes,2016,51
MMSys,A,Redes,2017,42
MMSys,A,Redes,2018,69
MMSys,A,Redes,2019,40
MMSys,A,Redes,2020,50
MMSys,A,Redes,2021,49
MMSys,A,Redes,2022,54
MMSys,A,Redes,2023,57
MMSys,A,Redes,2024,69
MMSys,A,Redes,2025,41
MOBICOM,A*,Redes,2001,30
MOBICOM,A*,Redes,2002,26
MOBICOM,A*,Redes,2003,27
MOBICOM,A*,Redes,2004,26
MOBICOM,A*,Redes,2005,23
MOBICOM,A*,Redes,2006,36
MOBICOM,A*,Redes,2007,41
MOBICOM,A*,Redes,2008,32
MOBICOM,A*,Redes,2009,30
MOBICOM,A*,Redes,2010,33
MOBICOM,A*,Redes,2011,29
MOBICOM,A*,Redes,2012,55
MOBICOM,A*,Redes,2013,67
MOBICOM,A*,Redes,2014,90
MOBICOM,A*,Redes,2015,84
MOBICOM,A*,Redes,2016,81
MOBICOM,A*,Redes,2017,88
MOBICOM,A*,Redes,2018,138
MOBICOM,A*,Redes,2019,112
MOBICOM,A*,Redes,2020,92
MOBICOM,A*,Redes,2021,85
MOBICOM,A*,Redes,2022,111
MOBICOM,A*,Redes,2023,152
MOBICOM,A*,Redes,2024,285
MOBICOM,A*,Redes,2025,157
MODELS,A,Ing. del Software,2006,56
MODELS,A,Ing. del Software,2007,48
MODELS,A,Ing. del Software,2008,66
MODELS,A,Ing. del Software,2009,62
MODELS,A,Ing. del Software,2011,52
MODELS,A,Ing. del Software,2012,51
MODELS,A,Ing. del Software,2013,47
MODELS,A,Ing. del Software,2014,41
MODELS,A,Ing. del Software,2015,53
MODELS,A,Ing. del Software,2016,42
MODELS,A,Ing. del Software,2017,38
MODELS,A,Ing. del Software,2018,45
MODELS,A,Ing. del Software,2019,30
MODELS,A,Ing. del Software,2020,35
MODELS,A,Ing. del Software,2021,31
MODELS,A,Ing. del Software,2022,35
MODELS,A,Ing. del Software,2023,30
MODELS,A,Ing. del Software,2024,26
MODELS,A,Ing. del Software,2025,27
MSR,A,Ing. del Software,2004,25
MSR,A,Ing. del Software,2005,22
MSR,A,Ing. del Software,2006,41
MSR,A,Ing. del Software,2007,33
MSR,A,Ing. del Software,2008,28
MSR,A,Ing. del Software,2009,30
MSR,A,Ing. del Software,2010,31
MSR,A,Ing. del Software,2011,34
MSR,A,Ing. del Software,2012,38
MSR,A,Ing. del Software,2013,64
MSR,A,Ing. del Software,2014,64
MSR,A,Ing. del Software,2015,73
MSR,A,Ing. del Software,2016,59
MSR,A,Ing. del Software,2017,66
MSR,A,Ing. del Software,2018,78
MSR,A,Ing. del Software,2019,79
MSR,A,Ing. del Software,2020,74
MSR,A,Ing. del Software,2021,76
MSR,A,Ing. del Software,2022,106
MSR,A,Ing. del Software,2023,76
MSR,A,Ing. del Software,2024,97
MSR,A,Ing. del Software,2025,109
MSWIM,A,Redes,2001,17
MSWIM,A,Redes,2002,17
MSWIM,A,Redes,2003,22
MSWIM,A,Redes,2004,45
MSWIM,A,Redes,2005,51
MSWIM,A,Redes,2006,53
MSWIM,A,Redes,2007,58
MSWIM,A,Redes,2008,56
MSWIM,A,Redes,2009,57
MSWIM,A,Redes,2010,53
MSWIM,A,Redes,2011,56
MSWIM,A,Redes,2012,52
MSWIM,A,Redes,2013,60
MSWIM,A,Redes,2014,46
MSWIM,A,Redes,2015,45
MSWIM,A,Redes,2016,48
MSWIM,A,Redes,2017,43
MSWIM,A,Redes,2018,49
MSWIM,A,Redes,2019,43
MSWIM,A,Redes,2020,32
MSWIM,A,Redes,2021,31
MSWIM,A,Redes,2022,29
MSWIM,A,Redes,2023,41
MSWIM,A,Redes,2025,120
Middleware,A,Sistemas,2001,20
Middleware,A,Sistemas,2003,25
Middleware,A,Sistemas,2004,26
Middleware,A,Sistemas,2005,24
Middleware,A,Sistemas,2006,21
Middleware,A,Sistemas,2007,22
Middleware,A,Sistemas,2008,21
Middleware,A,Sistemas,2009,21
Middleware,A,Sistemas,2010,19
Middleware,A,Sistemas,2011,25
Middleware,A,Sistemas,2012,24
Middleware,A,Sistemas,2013,25
Middleware,A,Sistemas,2014,27
Middleware,A,Sistemas,2015,23
Middleware,A,Sistemas,2016,21
Middleware,A,Sistemas,2017,20
Middleware,A,Sistemas,2018,22
Middleware,A,Sistemas,2019,25
Middleware,A,Sistemas,2020,30
Middleware,A,Sistemas,2021,29
Middleware,A,Sistemas,2022,26
Middleware,A,Sistemas,2023,24
Middleware,A,Sistemas,2024,39
Middleware,A,Sistemas,2025,36
Mobisys,A,Redes,2003,23
Mobisys,A,Redes,2004,24
Mobisys,A,Redes,2005,20
Mobisys,A,Redes,2006,19
Mobisys,A,Redes,2007,24
Mobisys,A,Redes,2008,23
Mobisys,A,Redes,2009,26
Mobisys,A,Redes,2010,27
Mobisys,A,Redes,2011,59
Mobisys,A,Redes,2012,73
Mobisys,A,Redes,2013,80
Mobisys,A,Redes,2014,69
Mobisys,A,Redes,2015,61
Mobisys,A,Redes,2016,31
Mobisys,A,Redes,2017,84
Mobisys,A,Redes,2018,79
Mobisys,A,Redes,2019,142
Mobisys,A,Redes,2020,44
Mobisys,A,Redes,2021,50
Mobisys,A,Redes,2022,103
Mobisys,A,Redes,2023,76
Mobisys,A,Redes,2024,129
Mobisys,A,Redes,2025,112
NAACL,A,IA / ML,2001,31
NAACL,A,IA / ML,2018,205
NAACL,A,IA / ML,2021,476
NAACL,A,IA / ML,2022,443
NAACL,A,IA / ML,2024,488
NDSS,A*,Seguridad,2001,18
NDSS,A*,Seguridad,2002,15
NDSS,A*,Seguridad,2003,17
NDSS,A*,Seguridad,2004,16
NDSS,A*,Seguridad,2005,16
NDSS,A*,Seguridad,2006,17
NDSS,A*,Seguridad,2007,17
NDSS,A*,Seguridad,2008,21
NDSS,A*,Seguridad,2009,20
NDSS,A*,Seguridad,2010,24
NDSS,A*,Seguridad,2011,28
NDSS,A*,Seguridad,2012,54
NDSS,A*,Seguridad,2013,64
NDSS,A*,Seguridad,2014,55
NDSS,A*,Seguridad,2015,50
NDSS,A*,Seguridad,2016,61
NDSS,A*,Seguridad,2017,68
NDSS,A*,Seguridad,2018,71
NDSS,A*,Seguridad,2019,90
NDSS,A*,Seguridad,2020,89
NDSS,A*,Seguridad,2021,87
NDSS,A*,Seguridad,2022,83
NDSS,A*,Seguridad,2023,94
NDSS,A*,Seguridad,2024,140
NDSS,A*,Seguridad,2025,211
NeurIPS,A*,IA / ML,2001,197
NeurIPS,A*,IA / ML,2002,207
NeurIPS,A*,IA / ML,2003,198
NeurIPS,A*,IA / ML,2004,207
NeurIPS,A*,IA / ML,2005,207
NeurIPS,A*,IA / ML,2006,204
NeurIPS,A*,IA / ML,2007,217
NeurIPS,A*,IA / ML,2008,250
NeurIPS,A*,IA / ML,2009,262
NeurIPS,A*,IA / ML,2010,292
NeurIPS,A*,IA / ML,2011,306
NeurIPS,A*,IA / ML,2012,370
NeurIPS,A*,IA / ML,2013,360
NeurIPS,A*,IA / ML,2014,411
NeurIPS,A*,IA / ML,2015,403
NeurIPS,A*,IA / ML,2016,569
NeurIPS,A*,IA / ML,2017,679
NeurIPS,A*,IA / ML,2018,1010
NeurIPS,A*,IA / ML,2019,1427
NeurIPS,A*,IA / ML,2020,1898
NeurIPS,A*,IA / ML,2021,2334
NeurIPS,A*,IA / ML,2022,2834
NeurIPS,A*,IA / ML,2023,3540
NeurIPS,A*,IA / ML,2024,4494
OOPSLA,A,Ing. del Software,2001,27
OOPSLA,A,Ing. del Software,2002,25
OOPSLA,A,Ing. del Software,2003,26
OOPSLA,A,Ing. del Software,2004,27
OOPSLA,A,Ing. del Software,2005,32
OOPSLA,A,Ing. del Software,2006,30
OOPSLA,A,Ing. del Software,2007,39
OOPSLA,A,Ing. del Software,2008,36
OOPSLA,A,Ing. del Software,2009,33
OOPSLA,A,Ing. del Software,2010,62
OOPSLA,A,Ing. del Software,2011,62
OOPSLA,A,Ing. del Software,2012,59
OOPSLA,A,Ing. del Software,2013,50
OOPSLA,A,Ing. del Software,2014,52
OOPSLA,A,Ing. del Software,2015,53
OOPSLA,A,Ing. del Software,2016,52
OSDI,A*,Sistemas,2002,27
OSDI,A*,Sistemas,2004,27
OSDI,A*,Sistemas,2006,27
OSDI,A*,Sistemas,2008,26
OSDI,A*,Sistemas,2010,32
OSDI,A*,Sistemas,2012,25
OSDI,A*,Sistemas,2014,42
OSDI,A*,Sistemas,2016,47
OSDI,A*,Sistemas,2018,47
OSDI,A*,Sistemas,2020,70
OSDI,A*,Sistemas,2021,31
OSDI,A*,Sistemas,2022,49
OSDI,A*,Sistemas,2023,55
OSDI,A*,Sistemas,2024,53
OSDI,A*,Sistemas,2025,53
PERCOM,A*,HCI,2003,65
PERCOM,A*,HCI,2004,37
PERCOM,A*,HCI,2005,48
PERCOM,A*,HCI,2006,43
PERCOM,A*,HCI,2007,28
PERCOM,A*,HCI,2008,111
PERCOM,A*,HCI,2009,84
PERCOM,A*,HCI,2010,30
PERCOM,A*,HCI,2011,28
PERCOM,A*,HCI,2012,30
PERCOM,A*,HCI,2013,30
PERCOM,A*,HCI,2014,29
PERCOM,A*,HCI,2015,29
PERCOM,A*,HCI,2016,28
PERCOM,A*,HCI,2017,34
PERCOM,A*,HCI,2018,32
PERCOM,A*,HCI,2019,37
PERCOM,A*,HCI,2020,38
PERCOM,A*,HCI,2021,23
PERCOM,A*,HCI,2022,28
PERCOM,A*,HCI,2023,31
PERCOM,A*,HCI,2024,23
PERCOM,A*,HCI,2025,24
PETS,A,Seguridad,2011,15
PETS,A,Seguridad,2015,25
PETS,A,Seguridad,2016,55
PETS,A,Seguridad,2017,56
PETS,A,Seguridad,2018,39
PETS,A,Seguridad,2019,70
PETS,A,Seguridad,2020,83
PETS,A,Seguridad,2021,85
PETS,A,Seguridad,2022,132
PETS,A,Seguridad,2023,127
PETS,A,Seguridad,2024,151
PETS,A,Seguridad,2025,173
PLDI,A*,Ing. del Software,2001,30
PLDI,A*,Ing. del Software,2002,28
PLDI,A*,Ing. del Software,2003,28
PLDI,A*,Ing. del Software,2004,26
PLDI,A*,Ing. del Software,2005,29
PLDI,A*,Ing. del Software,2006,36
PLDI,A*,Ing. del Software,2007,45
PLDI,A*,Ing. del Software,2008,34
PLDI,A*,Ing. del Software,2009,41
PLDI,A*,Ing. del Software,2010,42
PLDI,A*,Ing. del Software,2011,55
PLDI,A*,Ing. del Software,2012,48
PLDI,A*,Ing. del Software,2013,48
PLDI,A*,Ing. del Software,2014,59
PLDI,A*,Ing. del Software,2015,59
PLDI,A*,Ing. del Software,2016,48
PLDI,A*,Ing. del Software,2017,47
PLDI,A*,Ing. del Software,2018,55
PLDI,A*,Ing. del Software,2019,76
PLDI,A*,Ing. del Software,2020,77
PLDI,A*,Ing. del Software,2021,87
PLDI,A*,Ing. del Software,2022,68
PODC,A*,Sistemas,2001,42
PODC,A*,Sistemas,2002,43
PODC,A*,Sistemas,2003,55
PODC,A*,Sistemas,2004,75
PODC,A*,Sistemas,2005,58
PODC,A*,Sistemas,2006,38
PODC,A*,Sistemas,2007,81
PODC,A*,Sistemas,2008,92
PODC,A*,Sistemas,2009,69
PODC,A*,Sistemas,2010,89
PODC,A*,Sistemas,2011,65
PODC,A*,Sistemas,2012,61
PODC,A*,Sistemas,2013,57
PODC,A*,Sistemas,2014,54
PODC,A*,Sistemas,2015,58
PODC,A*,Sistemas,2016,67
PODC,A*,Sistemas,2017,62
PODC,A*,Sistemas,2018,79
PODC,A*,Sistemas,2019,78
PODC,A*,Sistemas,2020,66
PODC,A*,Sistemas,2021,65
PODC,A*,Sistemas,2022,64
PODC,A*,Sistemas,2023,45
PODC,A*,Sistemas,2024,64
PODC,A*,Sistemas,2025,69
PODS,A*,Bases de datos,2001,29
PODS,A*,Bases de datos,2002,27
PODS,A*,Bases de datos,2003,29
PODS,A*,Bases de datos,2004,34
PODS,A*,Bases de datos,2005,35
PODS,A*,Bases de datos,2006,39
PODS,A*,Bases de datos,2007,31
PODS,A*,Bases de datos,2008,31
PODS,A*,Bases de datos,2009,30
PODS,A*,Bases de datos,2010,31
PODS,A*,Bases de datos,2011,28
PODS,A*,Bases de datos,2012,30
PODS,A*,Bases de datos,2013,28
PODS,A*,Bases de datos,2014,25
PODS,A*,Bases de datos,2015,30
PODS,A*,Bases de datos,2016,37
PODS,A*,Bases de datos,2017,35
PODS,A*,Bases de datos,2018,35
PODS,A*,Bases de datos,2019,34
PODS,A*,Bases de datos,2020,32
PODS,A*,Bases de datos,2021,32
PODS,A*,Bases de datos,2022,38
PODS,A*,Bases de datos,2023,35
POPL,A*,Ing. del Software,2001,26
POPL,A*,Ing. del Software,2002,30
POPL,A*,Ing. del Software,2003,25
POPL,A*,Ing. del Software,2004,29
POPL,A*,Ing. del Software,2005,31
POPL,A*,Ing. del Software,2006,36
POPL,A*,Ing. del Software,2007,39
POPL,A*,Ing. del Software,2008,38
POPL,A*,Ing. del Software,2009,39
POPL,A*,Ing. del Software,2010,41
POPL,A*,Ing. del Software,2011,52
POPL,A*,Ing. del Software,2012,48
POPL,A*,Ing. del Software,2013,47
POPL,A*,Ing. del Software,2014,55
POPL,A*,Ing. del Software,2015,55
POPL,A*,Ing. del Software,2016,62
POPL,A*,Ing. del Software,2017,66
PPSN,A,IA / ML,2002,90
PPSN,A,IA / ML,2004,118
PPSN,A,IA / ML,2006,106
PPSN,A,IA / ML,2008,114
PPSN,A,IA / ML,2014,93
PPSN,A,IA / ML,2016,95
RAID,A,Seguridad,2002,17
RAID,A,Seguridad,2003,13
RAID,A,Seguridad,2004,16
RAID,A,Seguridad,2005,17
RAID,A,Seguridad,2006,16
RAID,A,Seguridad,2007,17
RAID,A,Seguridad,2008,36
RAID,A,Seguridad,2009,33
RAID,A,Seguridad,2010,39
RAID,A,Seguridad,2011,20
RAID,A,Seguridad,2012,30
RAID,A,Seguridad,2013,22
RAID,A,Seguridad,2014,22
RAID,A,Seguridad,2015,28
RAID,A,Seguridad,2016,21
RAID,A,Seguridad,2017,21
RAID,A,Seguridad,2018,32
RAID,A,Seguridad,2019,37
RAID,A,Seguridad,2020,31
RAID,A,Seguridad,2021,32
RAID,A,Seguridad,2022,35
RAID,A,Seguridad,2023,50
RAID,A,Seguridad,2024,43
RAID,A,Seguridad,2025,62
RE,A,Ing. del Software,2001,67
RE,A,Ing. del Software,2002,52
RE,A,Ing. del Software,2003,62
RE,A,Ing. del Software,2004,47
RE,A,Ing. del Software,2005,76
RE,A,Ing. del Software,2006,65
RE,A,Ing. del Software,2007,62
RE,A,Ing. del Software,2008,58
RE,A,Ing. del Software,2009,53
RE,A,Ing. del Software,2010,61
RE,A,Ing. del Software,2011,49
RE,A,Ing. del Software,2012,51
RE,A,Ing. del Software,2013,67
RE,A,Ing. del Software,2014,67
RE,A,Ing. del Software,2015,63
RE,A,Ing. del Software,2016,64
RE,A,Ing. del Software,2017,81
RE,A,Ing. del Software,2018,70
RE,A,Ing. del Software,2019,72
RE,A,Ing. del Software,2020,58
RE,A,Ing. del Software,2021,75
RE,A,Ing. del Software,2022,41
RE,A,Ing. del Software,2023,56
RE,A,Ing. del Software,2024,60
RE,A,Ing. del Software,2025,71
RTAS,A,Sistemas,2014,28
RTAS,A,Sistemas,2015,31
RTAS,A,Sistemas,2016,45
RTAS,A,Sistemas,2017,40
RTAS,A,Sistemas,2018,34
RTAS,A,Sistemas,2019,30
RTAS,A,Sistemas,2020,29
RTAS,A,Sistemas,2021,60
RTAS,A,Sistemas,2022,30
RTAS,A,Sistemas,2023,33
RTAS,A,Sistemas,2024,35
RTAS,A,Sistemas,2025,37
RTSS,A,Sistemas,2001,31
RTSS,A,Sistemas,2002,29
RTSS,A,Sistemas,2003,41
RTSS,A,Sistemas,2004,45
RTSS,A,Sistemas,2005,40
RTSS,A,Sistemas,2006,43
RTSS,A,Sistemas,2007,44
RTSS,A,Sistemas,2008,45
RTSS,A,Sistemas,2009,44
RTSS,A,Sistemas,2010,36
RTSS,A,Sistemas,2011,33
RTSS,A,Sistemas,2012,35
RTSS,A,Sistemas,2013,36
RTSS,A,Sistemas,2014,33
