scenario,window,area,ES,EU27_UK,ES_share
KDD_as_DB,2001-2005,Bases de datos,72,1377,0.05228758169934641
KDD_as_DB,2001-2005,Bioinformática,0,9,0.0
KDD_as_DB,2001-2005,HCI,14,1061,0.013195098963242224
KDD_as_DB,2001-2005,IA / ML,449,5293,0.0848290194596637
KDD_as_DB,2001-2005,Ing. del Software,81,1468,0.055177111716621256
KDD_as_DB,2001-2005,Redes,9,429,0.02097902097902098
KDD_as_DB,2001-2005,Seguridad,2,455,0.004395604395604396
KDD_as_DB,2001-2005,Sistemas,234,2331,0.10038610038610038
KDD_as_DB,2001-2005,Teoría,106,1817,0.058337919647771054
KDD_as_DB,2006-2010,Bases de datos,235,2589,0.09076863653920432
KDD_as_DB,2006-2010,Bioinformática,0,14,0.0
KDD_as_DB,2006-2010,HCI,64,1889,0.03388035997882478
KDD_as_DB,2006-2010,IA / ML,816,9144,0.08923884514435695
KDD_as_DB,2006-2010,Ing. del Software,147,2424,0.06064356435643564
KDD_as_DB,2006-2010,Redes,57,934,0.061027837259100645
KDD_as_DB,2006-2010,Seguridad,30,782,0.03836317135549872
KDD_as_DB,2006-2010,Sistemas,264,2754,0.09586056644880174
KDD_as_DB,2006-2010,Teoría,67,1518,0.04413702239789196
KDD_as_DB,2011-2015,Bases de datos,317,2905,0.10912220309810672
KDD_as_DB,2011-2015,HCI,122,2911,0.04190999656475438
KDD_as_DB,2011-2015,IA / ML,827,10640,0.07772556390977443
KDD_as_DB,2011-2015,Ing. del Software,225,3258,0.06906077348066299
KDD_as_DB,2011-2015,Redes,93,1000,0.093
KDD_as_DB,2011-2015,Seguridad,52,965,0.0538860103626943
KDD_as_DB,2011-2015,Sistemas,208,2484,0.08373590982286634
KDD_as_DB,2011-2015,Teoría,65,1973,0.03294475418144957
KDD_as_DB,2016-2020,Bases de datos,152,2977,0.05105811219348337
KDD_as_DB,2016-2020,HCI,66,3291,0.020054694621695533
KDD_as_DB,2016-2020,IA / ML,780,15139,0.051522557632604535
KDD_as_DB,2016-2020,Ing. del Software,168,2591,0.06483983018139715
KDD_as_DB,2016-2020,Redes,86,908,0.0947136563876652
KDD_as_DB,2016-2020,Seguridad,54,1092,0.04945054945054945
KDD_as_DB,2016-2020,Sistemas,172,2576,0.06677018633540373
KDD_as_DB,2016-2020,Teoría,58,2689,0.021569356638155446
KDD_as_DB,2021-2025,Bases de datos,158,3636,0.043454345434543455
KDD_as_DB,2021-2025,HCI,99,3734,0.026513122656668452
KDD_as_DB,2021-2025,IA / ML,1100,28372,0.03877061892006203
KDD_as_DB,2021-2025,Ing. del Software,154,2715,0.056721915285451195
KDD_as_DB,2021-2025,Redes,147,1006,0.14612326043737575
KDD_as_DB,2021-2025,Seguridad,70,1556,0.04498714652956298
KDD_as_DB,2021-2025,Sistemas,193,2832,0.0681497175141243
KDD_as_DB,2021-2025,Teoría,69,3187,0.02165045497332915
SIGIR_CIKM_as_IAML,2001-2005,Bases de datos,64,1113,0.05750224618149147
SIGIR_CIKM_as_IAML,2001-2005,Bioinformática,0,9,0.0
SIGIR_CIKM_as_IAML,2001-2005,HCI,14,1061,0.013195098963242224
SIGIR_CIKM_as_IAML,2001-2005,IA / ML,449,5293,0.0848290194596637
SIGIR_CIKM_as_IAML,2001-2005,IA/ML,8,264,0.030303030303030304
SIGIR_CIKM_as_IAML,2001-2005,Ing. del Software,81,1468,0.055177111716621256
SIGIR_CIKM_as_IAML,2001-2005,Redes,9,429,0.02097902097902098
SIGIR_CIKM_as_IAML,2001-2005,Seguridad,2,455,0.004395604395604396
SIGIR_CIKM_as_IAML,2001-2005,Sistemas,234,2331,0.10038610038610038
SIGIR_CIKM_as_IAML,2001-2005,Teoría,106,1817,0.058337919647771054
SIGIR_CIKM_as_IAML,2006-2010,Bases de datos,152,1928,0.07883817427385892
SIGIR_CIKM_as_IAML,2006-2010,Bioinformática,0,14,0.0
SIGIR_CIKM_as_IAML,2006-2010,HCI,64,1889,0.03388035997882478
SIGIR_CIKM_as_IAML,2006-2010,IA / ML,816,9144,0.08923884514435695
SIGIR_CIKM_as_IAML,2006-2010,IA/ML,83,661,0.12556732223903178
SIGIR_CIKM_as_IAML,2006-2010,Ing. del Software,147,2424,0.06064356435643564
SIGIR_CIKM_as_IAML,2006-2010,Redes,57,934,0.061027837259100645
SIGIR_CIKM_as_IAML,2006-2010,Seguridad,30,782,0.03836317135549872
SIGIR_CIKM_as_IAML,2006-2010,Sistemas,264,2754,0.09586056644880174
SIGIR_CIKM_as_IAML,2006-2010,Teoría,67,1518,0.04413702239789196
SIGIR_CIKM_as_IAML,2011-2015,Bases de datos,195,2000,0.0975
SIGIR_CIKM_as_IAML,2011-2015,HCI,122,2911,0.04190999656475438
SIGIR_CIKM_as_IAML,2011-2015,IA / ML,827,10640,0.07772556390977443
SIGIR_CIKM_as_IAML,2011-2015,IA/ML,122,905,0.13480662983425415
SIGIR_CIKM_as_IAML,2011-2015,Ing. del Software,225,3258,0.06906077348066299
SIGIR_CIKM_as_IAML,2011-2015,Redes,93,1000,0.093
SIGIR_CIKM_as_IAML,2011-2015,Seguridad,52,965,0.0538860103626943
SIGIR_CIKM_as_IAML,2011-2015,Sistemas,208,2484,0.08373590982286634
SIGIR_CIKM_as_IAML,2011-2015,Teoría,65,1973,0.03294475418144957
SIGIR_CIKM_as_IAML,2016-2020,Bases de datos,111,2166,0.05124653739612189
SIGIR_CIKM_as_IAML,2016-2020,HCI,66,3291,0.020054694621695533
SIGIR_CIKM_as_IAML,2016-2020,IA / ML,780,15139,0.051522557632604535
SIGIR_CIKM_as_IAML,2016-2020,IA/ML,41,811,0.05055487053020962
SIGIR_CIKM_as_IAML,2016-2020,Ing. del Software,168,2591,0.06483983018139715
SIGIR_CIKM_as_IAML,2016-2020,Redes,86,908,0.0947136563876652
SIGIR_CIKM_as_IAML,2016-2020,Seguridad,54,1092,0.04945054945054945
SIGIR_CIKM_as_IAML,2016-2020,Sistemas,172,2576,0.06677018633540373
SIGIR_CIKM_as_IAML,2016-2020,Teoría,58,2689,0.021569356638155446
SIGIR_CIKM_as_IAML,2021-2025,Bases de datos,108,2465,0.04381338742393509
SIGIR_CIKM_as_IAML,2021-2025,HCI,99,3734,0.026513122656668452
SIGIR_CIKM_as_IAML,2021-2025,IA / ML,1100,28372,0.03877061892006203
SIGIR_CIKM_as_IAML,2021-2025,IA/ML,50,1171,0.04269854824935952
SIGIR_CIKM_as_IAML,2021-2025,Ing. del Software,154,2715,0.056721915285451195
SIGIR_CIKM_as_IAML,2021-2025,Redes,147,1006,0.14612326043737575
SIGIR_CIKM_as_IAML,2021-2025,Seguridad,70,1556,0.04498714652956298
SIGIR_CIKM_as_IAML,2021-2025,Sistemas,193,2832,0.0681497175141243
SIGIR_CIKM_as_IAML,2021-2025,Teoría,69,3187,0.02165045497332915
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,Bases de datos,60,1006,0.05964214711729622
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,Bioinformática,0,9,0.0
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,HCI,14,1061,0.013195098963242224
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,IA / ML,449,5293,0.0848290194596637
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,IA/ML,12,371,0.03234501347708895
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,Ing. del Software,81,1468,0.055177111716621256
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,Redes,9,429,0.02097902097902098
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,Seguridad,2,455,0.004395604395604396
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,Sistemas,234,2331,0.10038610038610038
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2001-2005,Teoría,106,1817,0.058337919647771054
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,Bases de datos,111,1616,0.0686881188118812
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,Bioinformática,0,14,0.0
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,HCI,64,1889,0.03388035997882478
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,IA / ML,816,9144,0.08923884514435695
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,IA/ML,124,973,0.12744090441932168
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,Ing. del Software,147,2424,0.06064356435643564
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,Redes,57,934,0.061027837259100645
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,Seguridad,30,782,0.03836317135549872
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,Sistemas,264,2754,0.09586056644880174
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2006-2010,Teoría,67,1518,0.04413702239789196
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Bases de datos,170,1851,0.09184224743381955
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,HCI,122,2911,0.04190999656475438
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,IA / ML,827,10640,0.07772556390977443
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,IA/ML,147,1054,0.13946869070208728
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Ing. del Software,225,3258,0.06906077348066299
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Redes,93,1000,0.093
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Seguridad,52,965,0.0538860103626943
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Sistemas,208,2484,0.08373590982286634
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2011-2015,Teoría,65,1973,0.03294475418144957
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Bases de datos,92,1867,0.049276914836636314
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,HCI,66,3291,0.020054694621695533
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,IA / ML,780,15139,0.051522557632604535
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,IA/ML,60,1110,0.05405405405405406
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Ing. del Software,168,2591,0.06483983018139715
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Redes,86,908,0.0947136563876652
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Seguridad,54,1092,0.04945054945054945
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Sistemas,172,2576,0.06677018633540373
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2016-2020,Teoría,58,2689,0.021569356638155446
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Bases de datos,86,2140,0.04018691588785047
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,HCI,99,3734,0.026513122656668452
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,IA / ML,1100,28372,0.03877061892006203
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,IA/ML,72,1496,0.0481283422459893
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Ing. del Software,154,2715,0.056721915285451195
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Redes,147,1006,0.14612326043737575
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Seguridad,70,1556,0.04498714652956298
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Sistemas,193,2832,0.0681497175141243
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Teoría,69,3187,0.02165045497332915
WWW_as_IAML,2001-2005,Bases de datos,68,1270,0.05354330708661417
WWW_as_IAML,2001-2005,Bioinformática,0,9,0.0
WWW_as_IAML,2001-2005,HCI,14,1061,0.013195098963242224
WWW_as_IAML,2001-2005,IA / ML,449,5293,0.0848290194596637
WWW_as_IAML,2001-2005,IA/ML,4,107,0.037383177570093455
WWW_as_IAML,2001-2005,Ing. del Software,81,1468,0.055177111716621256
WWW_as_IAML,2001-2005,Redes,9,429,0.02097902097902098
WWW_as_IAML,2001-2005,Seguridad,2,455,0.004395604395604396
WWW_as_IAML,2001-2005,Sistemas,234,2331,0.10038610038610038
WWW_as_IAML,2001-2005,Teoría,106,1817,0.058337919647771054
WWW_as_IAML,2006-2010,Bases de datos,194,2277,0.08519982433025912
WWW_as_IAML,2006-2010,Bioinformática,0,14,0.0
WWW_as_IAML,2006-2010,HCI,64,1889,0.03388035997882478
WWW_as_IAML,2006-2010,IA / ML,816,9144,0.08923884514435695
WWW_as_IAML,2006-2010,IA/ML,41,312,0.13141025641025642
WWW_as_IAML,2006-2010,Ing. del Software,147,2424,0.06064356435643564
WWW_as_IAML,2006-2010,Redes,57,934,0.061027837259100645
WWW_as_IAML,2006-2010,Seguridad,30,782,0.03836317135549872
WWW_as_IAML,2006-2010,Sistemas,264,2754,0.09586056644880174
WWW_as_IAML,2006-2010,Teoría,67,1518,0.04413702239789196
WWW_as_IAML,2011-2015,Bases de datos,292,2756,0.10595065312046444
WWW_as_IAML,2011-2015,HCI,122,2911,0.04190999656475438
WWW_as_IAML,2011-2015,IA / ML,827,10640,0.07772556390977443
WWW_as_IAML,2011-2015,IA/ML,25,149,0.16778523489932887
WWW_as_IAML,2011-2015,Ing. del Software,225,3258,0.06906077348066299
WWW_as_IAML,2011-2015,Redes,93,1000,0.093
WWW_as_IAML,2011-2015,Seguridad,52,965,0.0538860103626943
WWW_as_IAML,2011-2015,Sistemas,208,2484,0.08373590982286634
WWW_as_IAML,2011-2015,Teoría,65,1973,0.03294475418144957
WWW_as_IAML,2016-2020,Bases de datos,133,2678,0.049663928304705
WWW_as_IAML,2016-2020,HCI,66,3291,0.020054694621695533
WWW_as_IAML,2016-2020,IA / ML,780,15139,0.051522557632604535
WWW_as_IAML,2016-2020,IA/ML,19,299,0.06354515050167224
WWW_as_IAML,2016-2020,Ing. del Software,168,2591,0.06483983018139715
WWW_as_IAML,2016-2020,Redes,86,908,0.0947136563876652
WWW_as_IAML,2016-2020,Seguridad,54,1092,0.04945054945054945
WWW_as_IAML,2016-2020,Sistemas,172,2576,0.06677018633540373
WWW_as_IAML,2016-2020,Teoría,58,2689,0.021569356638155446
WWW_as_IAML,2021-2025,Bases de datos,136,3311,0.04107520386590154
WWW_as_IAML,2021-2025,HCI,99,3734,0.026513122656668452
WWW_as_IAML,2021-2025,IA / ML,1100,28372,0.03877061892006203
WWW_as_IAML,2021-2025,IA/ML,22,325,0.06769230769230769
WWW_as_IAML,2021-2025,Ing. del Software,154,2715,0.056721915285451195
WWW_as_IAML,2021-2025,Redes,147,1006,0.14612326043737575
WWW_as_IAML,2021-2025,Seguridad,70,1556,0.04498714652956298
WWW_as_IAML,2021-2025,Sistemas,193,2832,0.0681497175141243
WWW_as_IAML,2021-2025,Teoría,69,3187,0.02165045497332915
baseline,2001-2005,Bases de datos,70,1314,0.0532724505327245
baseline,2001-2005,Bioinformática,0,9,0.0
baseline,2001-2005,HCI,14,1061,0.013195098963242224
baseline,2001-2005,IA / ML,438,5226,0.08381171067738231
baseline,2001-2005,IA/ML,13,130,0.1
baseline,2001-2005,Ing. del Software,81,1468,0.055177111716621256
baseline,2001-2005,Redes,9,429,0.02097902097902098
baseline,2001-2005,Seguridad,2,455,0.004395604395604396
baseline,2001-2005,Sistemas,234,2331,0.10038610038610038
baseline,2001-2005,Teoría,106,1817,0.058337919647771054
baseline,2006-2010,Bases de datos,222,2471,0.08984216916228248
baseline,2006-2010,Bioinformática,0,14,0.0
baseline,2006-2010,HCI,64,1889,0.03388035997882478
baseline,2006-2010,IA / ML,806,9016,0.08939662821650399
baseline,2006-2010,IA/ML,23,246,0.09349593495934959
baseline,2006-2010,Ing. del Software,147,2424,0.06064356435643564
baseline,2006-2010,Redes,57,934,0.061027837259100645
baseline,2006-2010,Seguridad,30,782,0.03836317135549872
baseline,2006-2010,Sistemas,264,2754,0.09586056644880174
baseline,2006-2010,Teoría,67,1518,0.04413702239789196
baseline,2011-2015,Bases de datos,295,2748,0.10735080058224163
baseline,2011-2015,HCI,122,2911,0.04190999656475438
baseline,2011-2015,IA / ML,791,10033,0.07883982856573309
baseline,2011-2015,IA/ML,58,764,0.07591623036649214
baseline,2011-2015,Ing. del Software,225,3258,0.06906077348066299
baseline,2011-2015,Redes,93,1000,0.093
baseline,2011-2015,Seguridad,52,965,0.0538860103626943
baseline,2011-2015,Sistemas,208,2484,0.08373590982286634
baseline,2011-2015,Teoría,65,1973,0.03294475418144957
baseline,2016-2020,Bases de datos,147,2815,0.0522202486678508
baseline,2016-2020,HCI,66,3291,0.020054694621695533
baseline,2016-2020,IA / ML,693,12755,0.05433163465307723
baseline,2016-2020,IA/ML,92,2546,0.03613511390416339
baseline,2016-2020,Ing. del Software,168,2591,0.06483983018139715
baseline,2016-2020,Redes,86,908,0.0947136563876652
baseline,2016-2020,Seguridad,54,1092,0.04945054945054945
baseline,2016-2020,Sistemas,172,2576,0.06677018633540373
baseline,2016-2020,Teoría,58,2689,0.021569356638155446
baseline,2021-2025,Bases de datos,145,3385,0.04283604135893648
baseline,2021-2025,HCI,99,3734,0.026513122656668452
baseline,2021-2025,IA / ML,974,24861,0.039177828727726155
baseline,2021-2025,IA/ML,139,3762,0.03694843168527379
baseline,2021-2025,Ing. del Software,154,2715,0.056721915285451195
baseline,2021-2025,Redes,147,1006,0.14612326043737575
baseline,2021-2025,Seguridad,70,1556,0.04498714652956298
baseline,2021-2025,Sistemas,193,2832,0.0681497175141243
baseline,2021-2025,Teoría,69,3187,0.02165045497332915
